,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
127,Gold Coast,75,AU,1554227807,93,-28.0,153.41,292.08,4.6
128,Tuktoyaktuk,20,CA,1554224400,77,69.44,-133.03,255.15,4.1
129,San Cristobal,75,EC,1554227283,60,-0.39,-78.55,291.93,2.6
130,Airai,56,TL,1554227727,85,-8.93,125.41,293.869,0.06
131,East London,40,ZA,1554224400,93,-33.02,27.91,289.15,1.5
132,Changping,0,CN,1554227655,42,40.22,116.23,280.28,2.0
133,Itarema,56,BR,1554227827,98,-2.92,-39.92,300.719,2.46
134,Aykhal,88,RU,1554227828,83,65.95,111.51,270.569,2.96
135,Fairbanks,1,US,1554227439,86,64.84,-147.72,272.66,1.61
136,Bambous Virieux,20,MU,1554227640,78,-20.34,57.76,298.8,3.31
137,Atuona,0,PF,1554227399,100,-9.8,-139.03,300.919,5.46
138,Nha Trang,20,VN,1554226200,94,12.24,109.19,299.15,1.5
139,Kieta,92,PG,1554227829,100,-6.22,155.63,298.069,0.91
140,Alofi,68,NU,1554224400,88,-19.06,-169.92,295.15,2.6
141,Samarai,44,PG,1554227830,100,-10.62,150.67,300.169,2.46
142,Templin,0,DE,1554227637,53,53.12,13.5,286.08,4.6
143,Rancho Palos Verdes,75,US,1554227815,63,33.75,-118.37,291.3,3.81
144,Bonthe,68,SL,1554227831,87,7.53,-12.5,301.019,2.06
145,Telma,0,RU,1554226200,72,52.7,103.72,273.15,2.0
146,Snezhnogorsk,75,RU,1554226200,60,69.19,33.23,277.15,2.0
147,New Norfolk,0,AU,1554227716,58,-42.78,147.06,287.59,3.6
148,Mar del Plata,0,AR,1554227638,31,-46.43,-67.52,295.719,8.41
149,Loyga,88,RU,1554227832,89,61.08,44.61,272.369,3.16
150,Tiksi,48,RU,1554227679,75,71.64,128.87,258.119,1.06
151,Taoudenni,8,ML,1554227528,17,22.68,-3.98,305.369,4.06
152,Knyaze-Volkonskoye,8,RU,1554226200,73,48.46,135.46,267.15,2.0
153,Lunca de Jos,0,RO,1554227834,64,46.37,22.89,281.369,1.76
154,Nicolas Bravo,75,MX,1554227415,22,24.39,-104.74,293.4,2.6
155,Georgetown,20,GY,1554224400,70,6.8,-58.16,304.23,5.1
156,Pangnirtung,90,CA,1554224400,77,66.15,-65.72,256.15,4.1
157,Clyde River,90,CA,1554224400,84,70.47,-68.59,257.15,14.4
158,Kalangala,0,UG,1554227835,100,-0.32,32.29,297.119,3.11
159,Port Blair,0,IN,1554227705,100,11.67,92.75,302.369,0.86
160,Barinas,56,VE,1554227836,61,8.64,-70.23,303.119,5.21
161,Ayr,40,GB,1554227631,75,55.46,-4.63,279.61,4.06
162,Eyl,0,SO,1554227836,100,7.98,49.82,298.319,2.51
163,Hithadhoo,32,MV,1554227740,100,-0.6,73.08,302.369,3.31
164,Wuwei,8,CN,1554227837,59,37.93,102.64,270.969,1.66
165,Saint-Augustin,90,FR,1554227659,76,44.83,-0.61,285.55,5.7
166,Redlands,1,US,1554227822,39,34.06,-117.19,291.73,3.6
167,Iberia,24,PE,1554227838,57,-11.41,-69.49,306.369,1.41
168,Bjornevatn,75,NO,1554227400,86,69.67,29.98,271.66,3.6
169,Dongsheng,88,CN,1554227838,93,29.72,112.52,284.469,6.06
170,Saskylakh,80,RU,1554227839,85,71.97,114.09,268.369,1.81
171,Moose Factory,90,CA,1554224400,55,51.26,-80.61,277.15,8.7
172,Thompson,75,CA,1554224400,56,55.74,-97.86,263.15,6.7
173,Pevek,20,RU,1554227741,75,69.7,170.27,266.469,6.31
174,Mkushi,0,ZM,1554227840,50,-13.61,29.4,295.819,3.66
175,Sorland,40,NO,1554225600,80,67.67,12.69,277.6,6.7
176,Faya,20,SA,1554224400,77,18.39,42.45,290.18,6.2
177,Tamluk,75,IN,1554226200,94,22.29,87.93,301.15,3.1
178,Rusera,0,IN,1554227841,88,25.75,86.02,294.119,3.01
179,Dalnerechensk,24,RU,1554227841,43,45.93,133.72,269.969,2.06
180,Khatanga,68,RU,1554227703,92,71.98,102.47,266.319,3.01
181,Flin Flon,75,CA,1554225240,67,54.77,-101.88,265.15,8.2
182,Mirador,12,BR,1554227842,100,-6.37,-44.36,300.319,1.21
183,Atar,92,MR,1554227842,83,20.52,-13.05,294.219,4.71
184,Antigonish,1,CA,1554227825,33,45.62,-61.99,280.81,5.7
185,Dunedin,0,NZ,1554227676,83,-45.87,170.5,281.48,0.89
186,Cabo San Lucas,20,MX,1554227459,31,22.89,-109.91,300.03,2.6
187,Terra Santa,36,BR,1554227844,59,-2.1,-56.49,306.269,1.81
188,Lar,90,IR,1554224400,88,27.66,54.32,290.15,4.1
189,Minsk,0,BY,1554226200,48,53.9,27.56,277.15,2.0
190,Garissa,0,KE,1554227845,79,-0.46,39.64,299.619,4.01
191,Hervey Bay,64,AU,1554227132,88,-25.3,152.85,293.43,3.6
192,Carutapera,8,BR,1554227845,89,-1.2,-46.02,301.669,1.86
193,Chapais,90,CA,1554226200,86,49.78,-74.86,272.15,6.2
194,Quebec,75,CA,1554227595,55,46.83,-71.24,277.2,5.7
195,Massakory,0,TD,1554227846,18,13.0,15.73,305.119,3.46
196,Kavaratti,0,IN,1554227722,100,10.57,72.64,302.319,3.61
197,Nichinan,76,JP,1554227847,100,31.65,131.31,281.619,2.56
198,Ozernovskiy,88,RU,1554227847,93,51.5,156.52,270.819,4.46
199,Oistins,20,BB,1554224400,55,13.07,-59.53,303.15,11.8
200,Touros,40,BR,1554224400,59,-5.2,-35.46,305.15,4.6
201,Aksha,0,RU,1554227848,41,50.28,113.29,269.469,2.26
202,Alyangula,68,AU,1554224400,88,-13.85,136.42,300.15,1.5
203,Busselton,0,AU,1554227406,45,-33.64,115.35,287.55,9.96
204,Dubbo,0,AU,1554227849,94,-32.25,148.6,285.969,3.16
205,Lianran,0,CN,1554227390,66,24.92,102.47,284.53,4.0
206,Marzuq,0,YE,1554227849,60,14.4,46.47,291.169,1.66
207,Pisco,0,PE,1554224400,30,-13.71,-76.2,295.15,4.6
208,Auki,0,NG,1554227850,15,12.18,6.51,307.119,4.91
209,Barstow,1,US,1554226500,30,31.46,-103.39,291.91,2.1
210,Tura,92,IN,1554227730,94,25.52,90.21,290.519,0.91
211,Hambantota,8,LK,1554227850,100,6.12,81.12,300.969,3.01
212,Ouallam,0,NE,1554227851,13,14.32,2.08,310.869,3.16
213,Goderich,76,CA,1554227586,71,43.74,-81.71,280.84,6.71
214,Gillette,75,US,1554227612,60,44.29,-105.5,278.53,4.6
215,Milkovo,20,BG,1554227285,40,41.53,24.68,286.37,4.1
216,Sambava,48,MG,1554227852,100,-14.27,50.17,301.869,5.41
217,Yarmouth,75,GB,1554227760,81,50.71,-1.5,279.34,1.5
218,Yakeshi,0,CN,1554227664,32,49.28,120.73,269.369,5.21
219,Westport,40,IE,1554227524,93,53.8,-9.52,277.65,9.3
220,Gat,0,SN,1554226200,41,14.69,-16.54,305.6,9.3
221,Isiro,8,CD,1554227854,88,2.77,27.62,296.119,1.36
222,Iqaluit,90,CA,1554224400,70,63.75,-68.52,254.15,12.9
223,Soyo,20,AO,1554224400,79,-6.13,12.37,304.15,3.1
224,Avera,1,US,1554227466,50,33.19,-82.53,284.26,2.1
225,Corn Island,68,NI,1554227855,97,12.17,-83.04,300.119,6.71
226,Kushima,76,JP,1554227855,100,31.5,131.29,281.619,2.56
227,Palauig,0,PH,1554227855,100,15.44,119.9,294.869,1.56
228,Hovd,0,NO,1554227717,48,63.83,10.7,277.99,3.6
229,Komsomolskiy,88,RU,1554227701,85,67.55,63.78,268.419,5.71
230,Port Elizabeth,75,US,1554227715,46,39.31,-74.98,282.83,5.7
231,Mayumba,80,GA,1554227857,90,-3.44,10.65,301.869,2.56
232,San Patricio,88,PY,1554227723,82,-26.98,-56.83,297.719,2.51
233,Port Lincoln,48,AU,1554227857,89,-34.72,135.86,289.819,2.46
234,Kaohsiung,40,TW,1554227705,73,22.62,120.31,295.34,2.1
235,Necochea,0,AR,1554227858,61,-38.55,-58.74,296.069,9.26
236,Unidad,92,PH,1554227858,84,8.54,126.23,297.369,2.26
237,Luderitz,0,NA,1554227697,77,-26.65,15.16,289.319,4.31
238,Longhua,92,CN,1554227858,92,29.21,106.21,287.319,1.16
239,Katsuura,20,JP,1554224400,86,33.93,134.5,278.15,2.6
240,Sao Felix do Xingu,32,BR,1554227859,77,-6.64,-51.99,302.219,1.21
241,Saint-Paul,56,FR,1554227715,76,45.22,1.9,283.12,4.1
242,Bethel,1,US,1554224160,100,60.79,-161.76,270.66,3.6
243,Inta,88,RU,1554227860,81,66.04,60.13,271.869,4.01
244,Kargopol,0,RU,1554227861,79,61.51,38.95,269.569,3.36
245,Sabang,8,PH,1554227861,94,13.72,123.58,296.969,2.96
246,Tambovka,8,UA,1554227862,46,46.93,35.45,279.969,5.61
247,Sitka,68,US,1554227501,57,37.17,-99.65,287.369,6.11
248,Mantua,20,IT,1554227689,39,45.16,10.79,291.38,2.6
249,Te Anau,0,NZ,1554227862,83,-45.41,167.72,269.969,0.96
250,Kozulka,0,UA,1554226200,26,50.04,23.8,281.15,5.0
251,Ilo,0,PE,1554224400,64,-17.65,-71.34,297.15,3.1
252,Ulaangom,0,MN,1554227863,58,49.98,92.07,265.219,0.96
253,Syntul,0,RU,1554227864,85,55.0,41.3,271.819,4.66
254,Klaksvik,44,FO,1554227400,80,62.23,-6.59,275.15,11.8
255,Leningradskiy,44,RU,1554227864,83,69.38,178.42,261.819,5.46
256,Esperance,40,TT,1554227707,49,10.24,-61.45,303.94,7.7
257,Khash,24,IR,1554227865,49,28.22,61.21,288.369,1.41
258,Ocos,20,GT,1554224400,52,14.51,-92.19,306.18,2.1
259,Sao Sebastiao,0,BR,1554227865,57,-3.15,-58.36,306.219,1.56
260,Kruisfontein,12,ZA,1554227665,71,-34.0,24.73,290.069,5.71
261,Guarapari,40,BR,1554225553,58,-20.67,-40.5,301.02,7.2
262,Mareeba,75,AU,1554227717,88,-16.99,145.42,297.2,6.7
263,Vostok,88,RU,1554227547,62,46.45,135.83,267.869,1.16
264,Konongo,56,GH,1554227867,79,6.62,-1.21,300.369,3.81
265,Fortuna,20,ES,1554227859,72,38.18,-1.13,290.8,4.1
266,Udarnyy,0,RU,1554227867,69,54.34,42.86,274.069,4.26
267,Portland,90,US,1554227494,71,45.52,-122.67,285.93,1.5
268,Longyearbyen,75,NO,1554225600,84,78.22,15.63,260.15,2.1
269,Ouadda,8,CF,1554227868,31,8.07,22.4,303.869,2.56
270,Puerto Ayora,20,EC,1554227138,70,-0.74,-90.35,302.11,4.6
271,Kucura,0,RS,1554226200,41,45.52,19.58,289.15,3.1
272,Ginir,0,ET,1554227869,45,7.14,40.71,292.869,2.56
273,Padang,24,ID,1554227864,100,-0.92,100.36,302.069,2.06
274,El Alto,75,BO,1554224400,62,-16.5,-68.19,286.15,3.1
275,Longkou,0,CN,1554227870,100,37.64,120.47,276.719,1.56
276,Manokwari,48,ID,1554227870,97,-0.87,134.08,300.969,5.26
277,Kaeo,0,NZ,1554226684,93,-35.1,173.78,282.59,2.76
278,Saint-Francois,48,FR,1554227138,76,46.42,3.91,286.34,1.5
279,Araouane,0,ML,1554227871,17,18.9,-3.53,309.319,3.86
280,Semnan,0,IR,1554224400,33,35.58,53.39,288.15,2.1
281,Makakilo City,1,US,1554227764,77,21.35,-158.09,294.62,2.1
282,Zhuhai,0,CN,1554224400,30,40.71,112.04,272.15,3.0
283,Isangel,48,VU,1554227668,100,-19.55,169.27,300.119,6.91
284,Hastings,68,NZ,1554227744,100,-39.64,176.84,287.219,7.46
285,Vestmannaeyjar,0,IS,1554224400,86,63.44,-20.27,273.15,11.8
286,Balkanabat,0,TM,1554227873,86,39.51,54.36,278.669,0.76
287,Nouadhibou,20,MR,1554224400,64,20.93,-17.03,294.15,4.1
288,Hachinohe,0,JP,1554227409,83,40.47,141.48,272.59,1.34
289,Inhambane,20,MZ,1554224400,69,-23.87,35.38,298.15,3.1
290,Agadir,75,MA,1554224400,46,30.42,-9.58,302.15,4.1
291,Lasa,75,CY,1554227159,87,34.92,32.53,286.97,2.1
292,Moyale,20,ET,1554227874,48,3.52,39.05,297.169,2.26
293,Rameswaram,0,IN,1554227875,100,9.28,79.3,302.369,4.31
294,Imeni Poliny Osipenko,48,RU,1554227875,68,52.42,136.49,262.869,1.16
295,Gurjaani,0,GE,1554226200,71,41.75,45.79,280.15,14.4
296,Swift Current,20,CA,1554224400,51,50.29,-107.8,275.15,8.2
297,Plouzane,92,FR,1554227524,70,48.38,-4.62,280.29,5.1
298,Kuala Terengganu,90,MY,1554224400,100,5.33,103.14,298.15,1.0
299,Yamada,75,JP,1554227857,86,36.58,137.08,276.26,3.1
300,Nelson Bay,12,AU,1554227642,93,-32.72,152.14,288.54,2.51
301,Srednekolymsk,24,RU,1554227676,85,67.46,153.71,258.119,1.06
302,Jardim,88,BR,1554227706,78,-21.48,-56.15,301.919,2.71
303,Narsaq,75,GL,1554223800,60,60.91,-46.05,279.15,15.4
304,Port Hardy,75,CA,1554224400,61,50.7,-127.42,282.15,2.1
305,Burnie,88,AU,1554227824,91,-41.05,145.91,283.71,0.89
306,Dwarka,0,IN,1554226200,34,28.58,77.04,298.85,2.6
307,Puri,64,ID,1554227879,91,-7.54,112.45,294.819,1.36
308,Dudestii Vechi,0,RO,1554226200,30,46.05,20.48,289.19,5.1
309,Champerico,20,MX,1554223620,54,16.38,-93.6,300.15,5.7
310,Kampot,40,KH,1554226200,88,10.62,104.18,298.33,1.0
311,Saint-Joseph,0,FR,1554227756,58,43.56,6.97,287.05,2.6
312,Ostrovnoy,24,RU,1554227677,78,68.05,39.51,269.969,6.06
313,Hobyo,32,SO,1554227694,90,5.35,48.53,299.469,3.81
314,Grand Gaube,20,MU,1554227640,78,-20.01,57.66,299.04,4.51
315,Mount Gambier,44,AU,1554224400,66,-37.83,140.78,286.15,4.6
316,Karaidel,92,RU,1554227883,88,55.83,56.91,274.219,4.01
317,Shahr-e Babak,100,IR,1554227883,83,30.12,55.12,283.069,4.46
318,Benguela,12,AO,1554227884,95,-12.58,13.4,301.819,3.01
319,Santiago del Estero,56,AR,1554227884,94,-27.8,-64.26,298.569,3.61
320,Turayf,75,SA,1554224400,50,31.68,38.65,287.15,2.1
321,Chumikan,0,RU,1554227885,75,54.72,135.31,260.719,1.31
322,Albion,75,US,1554227707,82,41.69,-98.0,282.04,4.1
323,Chalmette,5,US,1554227885,29,29.94,-89.96,290.29,4.6
324,Zemio,0,CF,1554227886,70,5.02,25.13,299.569,2.11
325,Vozhega,0,RU,1554227886,76,60.47,40.21,268.819,2.86
326,Fostoria,75,US,1554226500,80,43.24,-95.16,274.63,9.8
327,Ljungby,0,SE,1554227152,38,56.83,13.94,279.86,3.6
328,Praya,20,ID,1554226200,100,-8.71,116.27,298.15,2.31
329,Klisura,40,BG,1554224400,34,42.69,24.45,285.15,8.2
330,Kirakira,88,SB,1554227888,100,-10.46,161.92,300.819,2.51
331,Havelock,90,US,1554227750,100,34.88,-76.9,282.88,8.7
332,Minab,64,IR,1554224400,61,27.15,57.07,300.56,2.11
333,Gairo,12,TZ,1554227889,85,-6.14,36.87,293.169,3.31
334,Lixourion,0,GR,1554227600,77,38.2,20.43,289.36,2.1
335,Mindelo,0,PT,1554227464,71,41.31,-8.72,288.09,8.7
336,Vila Franca do Campo,40,PT,1554227844,71,37.72,-25.43,286.5,8.7
337,Hojai,92,IN,1554227890,100,26.0,92.85,290.269,0.86
338,Batemans Bay,0,AU,1554227503,92,-35.71,150.18,284.58,1.79
339,Goma,24,CD,1554227891,96,-1.67,29.23,289.819,1.41
340,Kurduvadi,100,IN,1554227891,22,18.09,75.41,304.269,1.61
341,Constitucion,75,MX,1554227415,22,23.99,-104.67,293.33,2.6
342,Kysyl-Syr,76,RU,1554227892,81,63.9,122.77,267.219,1.21
343,Vanimo,64,PG,1554227892,100,-2.67,141.3,300.869,7.66
344,Suhut,20,TR,1554227892,61,38.53,30.55,278.819,2.26
345,Manaure,75,CO,1554224400,38,11.78,-72.45,307.15,7.2
346,Quesnel,1,CA,1554224700,69,52.98,-122.49,275.15,1.0
347,Nishihara,1,JP,1554227809,64,35.74,139.53,276.69,2.6
348,Conde,88,BR,1554227894,89,-11.81,-37.61,300.869,4.51
349,Raudeberg,20,NO,1554227704,45,61.99,5.14,279.78,4.1
350,Bilibino,0,RU,1554227894,89,68.06,166.44,267.019,1.66
351,Flinders,0,AU,1554227705,100,-34.58,150.85,286.99,1.21
352,Verkhniy Ufaley,92,RU,1554227895,96,56.06,60.23,272.919,2.91
353,Dalvik,0,SE,1554227705,33,57.79,14.13,278.67,5.7
354,Fairview,1,US,1554227645,36,40.81,-74.0,282.43,6.7
355,Huilong,92,CN,1554227897,93,28.89,110.18,282.869,3.66
356,Soteapan,90,MX,1554223320,78,18.23,-94.87,296.15,4.01
357,Saldanha,0,PT,1554227898,27,41.42,-6.55,289.969,4.31
358,Eureka,90,US,1554227707,100,40.8,-124.16,285.81,5.7
359,Sao Filipe,0,CV,1554227665,94,14.9,-24.5,295.319,6.01
360,Penalva,0,BR,1554227608,78,-3.29,-45.17,304.669,1.81
361,Roald,0,NO,1554227704,70,62.58,6.12,277.51,5.1
362,Hokitika,0,NZ,1554227899,100,-42.72,170.96,283.719,3.31
363,Ocampo,8,PH,1554227899,94,13.56,123.37,296.969,2.96
364,Nara,0,JP,1554226204,56,34.68,135.8,276.35,5.7
365,Yelizovo,40,RU,1554224400,64,53.19,158.38,276.15,3.0
366,Sefton,40,GB,1554227892,90,53.5,-2.97,278.78,5.7
367,Gwanda,12,ZW,1554227901,54,-20.94,29.0,296.219,6.81
368,Utica,1,US,1554227773,29,43.1,-75.23,282.21,6.7
369,Broken Hill,0,AU,1554224400,48,-31.97,141.45,289.15,2.1
370,Leh,32,IN,1554227902,54,34.16,77.58,251.419,0.71
371,Souillac,75,FR,1554227839,87,45.6,-0.6,283.88,6.2
372,Concordia,40,AR,1554227812,59,-31.4,-58.02,304.99,4.6
373,Aklavik,90,CA,1554226260,65,68.22,-135.01,258.63,5.1
374,Gladstone,0,AU,1554227666,73,-23.84,151.26,294.66,3.6
